40,யாா் சொல்வதோ,குஷி,2000,வைரமுத்து,ஹாிஹரன்,"யாா் சொல்வதோ
யாா் சொல்வதோ
யாா் சொல்வதோ
யாா் சொல்வதோ
மொட்டு ஒன்று
மலா்ந்திட மறுக்கும்
குழு: கும் கும் கும்
ஆண்: முட்டும் தென்றல்
தொட்டு தொட்டு திறக்கும்
"
41,வெள்ளரிகா பிஞ்சு வெள்ளரிகா,காதல் கோட்டை,1996,அகத்தியன்,"கிருஷ்ணராஜ், தேவா","வெள்ளரிகா பிஞ்சு வெள்ளரிகா
என்ன பாக்காம போறாளே
சந்திரிக்கா
"
42, கவலை படாதே சகோதரா,காதல் கோட்டை,1996,அகத்தியன்,தேவா,"கவலை படாதே சகோதரா
எங்கம்மா கருமாரி காத்து நிப்பா
காதல தான் சோ்த்து வைப்பா
கவலை படாதே சகோதரா
"
43,ஒயிட் லெகான் கோழி,ப்ரியமுடன்,1998,பொன்னியின் செல்வன்,தேவா,"சந்திரிக்காஒயிட் லெகான் கோழி
ஒன்னு கூவுது
அது பாஸ்ட் புட்டு கடைய
பாத்து ஏங்குது
"
44,காதல் சொல்வது,பத்ரி,2001,பழனி பாரதி,"ஸ்ரீநிவாஸ், சுனிதா","காதல் சொல்வது
உதடுகள் அல்ல
கண்கள் தான் தலைவா
"
45,பூங்காற்றிலே உன் சுவாசத்தை, உயிரே,1998,வைரமுத்து,உன்னி மேனன்,"பூங்காற்றிலே உன் சுவாசத்தை
தனியாக தேடி பார்த்தேன்
கடல் மேல் ஒரு துளி வீழ்ந்ததே
அதைத் தேடி தேடி பார்த்தேன்"
46,எனக்கென ஏற்கனவே,பார்த்தேன் ரசித்தேன்,2000,வைரமுத்து,உன்னிகிருஷ்ணன்,"எனக்கென ஏற்கனவே
பிறந்தவள் இவளோ
இதயத்தை கயிறு கட்டி
இழுத்தவள் இவளோ"
47,அழகே பிரம்மனிடம்,தேவதையை கண்டேன்,2005,பா.விஜய்,"ஹரிஸ் ராகவேந்திரா, கங்கா","அழகே பிரம்மனிடம்
மனு கொடுக்க போயிருந்தேன்
நீ என் மனைவியாக
வேண்டும் என்று"
48,கண்ணுக்குள்ளே உன்னை வைத்தேன்,பெண்ணின் மனதை தொட்டு,2000,முத்து விஜயன்,உன்னி மேனன்,"கண்ணுக்குள்ளே
உன்னை வைத்தேன் கண்ணம்மா
நான் கண்கள் மூட
மாட்டேனடி செல்லம்மா
நான் கண்கள் மூட
மாட்டேனடி செல்லம்மா"
49,ஆகாய சூரியனை,சாமுராய்,2002,வைரமுத்து, ஹரிஷ் ராகவேந்திரா,"ஆகாய சூரியனை
ஒற்றை ஜடையில் கட்டியவள்
நின்றாடும் விண்மீனை
நெற்றி சுட்டியில் ஒட்டியவள்"
